metric,size,tool_1,tool_2,cliffs_delta,magnitude
M2,xl-5000,esbuild,webpack,-1,large
M2,xl-5000,esbuild,rollup,-1,large
M2,xl-5000,webpack,rollup,0.64,large
M3,xs-50,vite,rspack,0.8174,large
M3,xs-50,vite,webpack,1,large
M3,xs-50,vite,rollup,-0.9174,large
M3,xs-50,rspack,webpack,0.495,large
M3,xs-50,rspack,rollup,-1,large
M3,xs-50,webpack,rollup,-1,large
M3,m-500,vite,rspack,1,large
M3,m-500,vite,webpack,1,large
M3,m-500,vite,rollup,-1,large
M3,m-500,rspack,webpack,-0.46,medium
M3,m-500,rspack,rollup,-1,large
M3,m-500,webpack,rollup,-1,large
M4,xs-50,vite,rspack,1,large
M4,xs-50,vite,webpack,1,large
M4,xs-50,rspack,webpack,-0.335,medium
M4,m-500,vite,rspack,0.97,large
M4,m-500,vite,webpack,0.88,large
M4,m-500,rspack,webpack,-0.1525,small
