metric,tool,size,n,mean,median,std,iqr,min,max,cv
M2,vite,m-500,10,2093.9,1644.5,1318.16,48.5,1611,6046,62.95
M2,webpack,m-500,10,12187,10982.5,3725.32,485.25,10431,23291,30.57
M2,esbuild,s-200,10,793.2,544,605.46,55.5,526,2555,76.33
M2,rollup,s-200,10,3882.5,3859.5,61.38,73.25,3822,4023,1.58
M2,rspack,s-200,10,1761.8,1518,589.82,113,1451,3450,33.48
M2,vite,s-200,10,1942,1431,997.73,475.75,1293,4344,51.38
M2,webpack,s-200,10,6350.4,5214,2486.17,146,5080,12968,39.15
M2,esbuild,xl-5000,10,17032.4,14682.5,5048.05,3924.75,13549,30479,29.64
M2,rollup,xl-5000,10,106285,99208.5,14281.31,1202,98221,139441,13.44
M2,rspack,xl-5000,10,14742.3,13848.5,2887.83,498.75,12923,23204,19.59
M2,vite,xl-5000,10,6877.5,5899.5,3054.29,379.25,5433,16013,44.41
M2,webpack,xl-5000,10,120580.4,115871.5,11959.74,8416.25,109900,153078,9.92
M2,esbuild,xs-50,10,682,399,801.99,41,382,3085,117.59
M2,rollup,xs-50,10,2876.1,2857.5,72.58,37.25,2788,3031,2.52
M2,rspack,xs-50,10,1472.5,1149.5,930.12,131.75,1103,4257,63.17
M2,vite,xs-50,10,1339.6,1017,890.16,38.25,967,3992,66.45
M2,webpack,xs-50,10,5819,3712,6066.71,155.75,3600,24007,104.26
M2,esbuild,bp-react,10,1531,672,2516.67,49.75,633,9079,164.38
M2,rollup,bp-react,10,6415.7,4909,4390.47,77.25,4873,19582,68.43
M2,rspack,bp-react,10,3252.6,2248,3105.28,224.25,1952,12555,95.47
M2,vite,bp-react,10,2209,2224,94.96,161,2044,2315,4.3
M2,webpack,bp-react,10,12278.6,7347,14758.84,583,6994,56545,120.2
M3,esbuild,m-500,20,1196.6,807,1642.99,135.75,627,8340,137.31
M3,rollup,m-500,20,3143.45,3130,192.52,228.75,2917,3792,6.12
M3,rspack,m-500,20,317.15,328,141.88,113.75,59,627,44.74
M3,vite,m-500,20,897.65,872,47.49,72.5,832,1022,5.29
M3,webpack,m-500,20,463.25,525,122.85,240.75,285,625,26.52
M3,esbuild,xl-5000,20,6861.9,6836.5,352.08,505.75,6218,7632,5.13
M3,rollup,xl-5000,20,20031.4,17190.5,9047.27,2964,14002,49301,45.17
M3,rspack,xl-5000,19,9006.89,13216,6949.26,13714.5,338,18970,77.15
M3,vite,xl-5000,19,17131,12065,19630.13,3893.5,8211,98565,114.59
M3,webpack,xl-5000,20,3968.55,3910,313.98,219.75,3424,4918,7.91
M3,esbuild,xs-50,20,159,124.5,86.36,49.25,102,414,54.31
M3,rollup,xs-50,20,1048.45,919,545.43,63.75,859,3415,52.02
M3,rspack,xs-50,20,175.9,187.5,88.91,70,31,355,50.55
M3,vite,xs-50,20,298.8,294,16.63,4.75,288,354,5.57
M3,webpack,xs-50,20,120.5,137.5,34.36,68.25,69,166,28.51
M3,rollup,bp-react,20,1508.9,1462.5,167.23,84.5,1361,2074,11.08
M3,rspack,bp-react,20,536.25,493,134.72,138.5,372,930,25.12
M3,vite,bp-react,20,1489.2,1235.5,988.77,108.75,1178,5791,66.4
M4,rspack,m-500,20,15.35,14,8.14,2,4,48,53.02
M4,vite,m-500,20,75.85,76,38.68,86.5,24,131,51
M4,webpack,m-500,20,21.05,14,13.6,6.75,13,53,64.62
M4,rspack,xl-5000,15,3793.27,65,11985.4,749.5,12,48358,315.97
M4,rspack,xs-50,20,17.5,14,13.32,1.25,6,73,76.12
M4,vite,xs-50,3,144.67,132,57.85,70,81,221,39.99
M4,webpack,xs-50,20,25.85,16,16.83,22,12,64,65.09
M4,rspack,bp-react,20,13.65,13.5,0.73,1,13,15,5.32
M4,vite,bp-react,20,173.9,203.5,55.74,96.75,91,302,32.05
M4,webpack,bp-react,20,17.9,14.5,9.19,2,5,40,51.32
M5,esbuild,l-2000,1,32751306,32751306,0,0,32751306,32751306,0
M5,rollup,l-2000,1,11626286,11626286,0,0,11626286,11626286,0
M5,rspack,l-2000,1,11795557,11795557,0,0,11795557,11795557,0
M5,vite,l-2000,1,4038885,4038885,0,0,4038885,4038885,0
M5,webpack,l-2000,1,8114836,8114836,0,0,8114836,8114836,0
M5,esbuild,m-500,1,6531439,6531439,0,0,6531439,6531439,0
M5,rollup,m-500,1,4566945,4566945,0,0,4566945,4566945,0
M5,rspack,m-500,1,3458372,3458372,0,0,3458372,3458372,0
M5,vite,m-500,1,1649769,1649769,0,0,1649769,1649769,0
M5,webpack,m-500,1,2555959,2555959,0,0,2555959,2555959,0
M5,esbuild,s-200,1,1298868,1298868,0,0,1298868,1298868,0
M5,rollup,s-200,1,1661401,1661401,0,0,1661401,1661401,0
M5,rspack,s-200,1,1182103,1182103,0,0,1182103,1182103,0
M5,vite,s-200,1,567352,567352,0,0,567352,567352,0
M5,webpack,s-200,1,887756,887756,0,0,887756,887756,0
M5,esbuild,xl-5000,1,167317981,167317981,0,0,167317981,167317981,0
M5,rollup,xl-5000,1,25934927,25934927,0,0,25934927,25934927,0
M5,rspack,xl-5000,1,28623040,28623040,0,0,28623040,28623040,0
M5,vite,xl-5000,1,9054960,9054960,0,0,9054960,9054960,0
M5,webpack,xl-5000,1,19327288,19327288,0,0,19327288,19327288,0
M5,esbuild,xs-50,1,370950,370950,0,0,370950,370950,0
M5,rollup,xs-50,1,1000071,1000071,0,0,1000071,1000071,0
M5,rspack,xs-50,1,435642,435642,0,0,435642,435642,0
M5,vite,xs-50,1,311635,311635,0,0,311635,311635,0
M5,webpack,xs-50,1,372983,372983,0,0,372983,372983,0
M5,esbuild,bp-react,1,902365,902365,0,0,902365,902365,0
M5,rollup,bp-react,1,589744,589744,0,0,589744,589744,0
M5,rspack,bp-react,1,696188,696188,0,0,696188,696188,0
M5,vite,bp-react,1,606059,606059,0,0,606059,606059,0
M5,webpack,bp-react,1,706043,706043,0,0,706043,706043,0
M6,esbuild,l-2000,1,862291,862291,0,0,862291,862291,0
M6,rollup,l-2000,1,1277956,1277956,0,0,1277956,1277956,0
M6,rspack,l-2000,1,1420560,1420560,0,0,1420560,1420560,0
M6,vite,l-2000,1,556500,556500,0,0,556500,556500,0
M6,webpack,l-2000,1,836548,836548,0,0,836548,836548,0
M6,esbuild,m-500,1,404245,404245,0,0,404245,404245,0
M6,rollup,m-500,1,627183,627183,0,0,627183,627183,0
M6,rspack,m-500,1,516111,516111,0,0,516111,516111,0
M6,vite,m-500,1,328052,328052,0,0,328052,328052,0
M6,webpack,m-500,1,370827,370827,0,0,370827,370827,0
M6,esbuild,s-200,1,151151,151151,0,0,151151,151151,0
