tool,size,metric,run,value,unit,timestamp,session
rspack,m-500,M4,1,82,ms,2026-09-15T07:12:03Z,1
rspack,m-500,M4,2,93,ms,2026-09-15T07:12:03Z,1
rspack,m-500,M4,3,86,ms,2026-09-15T07:12:03Z,1
rspack,m-500,M4,4,87,ms,2026-09-15T07:12:03Z,1
rspack,m-500,M4,5,169,ms,2026-09-15T07:12:03Z,2
rspack,m-500,M4,6,149,ms,2026-09-15T07:12:03Z,2
rspack,m-500,M4,7,92,ms,2026-09-15T07:12:03Z,2
rspack,m-500,M4,8,147,ms,2026-09-15T07:12:03Z,2
rspack,m-500,M4,9,150,ms,2026-09-15T07:12:03Z,3
rspack,m-500,M4,10,134,ms,2026-09-15T07:12:03Z,3
rspack,m-500,M4,11,89,ms,2026-09-15T07:12:03Z,3
rspack,m-500,M4,12,181,ms,2026-09-15T07:12:03Z,3
rspack,m-500,M4,13,98,ms,2026-09-15T07:12:03Z,4
rspack,m-500,M4,14,111,ms,2026-09-15T07:12:03Z,4
rspack,m-500,M4,15,111,ms,2026-09-15T07:12:03Z,4
rspack,m-500,M4,16,99,ms,2026-09-15T07:12:03Z,4
rspack,m-500,M4,17,93,ms,2026-09-15T07:12:03Z,5
rspack,m-500,M4,18,92,ms,2026-09-15T07:12:03Z,5
rspack,m-500,M4,19,133,ms,2026-09-15T07:12:03Z,5
rspack,m-500,M4,20,123,ms,2026-09-15T07:12:03Z,5
