tier,metric,size,tool,n,mean,median,std,iqr,min,max
tier2,M10,bp-react,esbuild,10,62.497,62.41,0.643481,1.01,61.66,63.36
tier2,M11,bp-react,esbuild,10,0.06,0.06,0,0,0.06,0.06
tier2,M2,bp-react,esbuild,10,1092,500,1264.970795,27.5,480,3690
tier2,M10,bp-react,rollup,10,637.187,640.945,11.759816,8.77,607.84,649.3
tier2,M11,bp-react,rollup,10,11.461,11.46,0.07325,0.065,11.3,11.58
tier2,M2,bp-react,rollup,10,5822,4215,3688.998057,92.5,4100,15180
tier2,M10,bp-react,rspack,10,314.701,315.585,5.112317,4.16,306.23,322.16
tier2,M11,bp-react,rspack,10,2.086,2,0.143233,0.19,1.97,2.34
tier2,M2,bp-react,rspack,10,3652,1920,3853.736426,220,1630,12580
tier2,M10,bp-react,vite,10,464.349,466.65,12.43888,7.055,431.8,477.03
tier2,M11,bp-react,vite,10,2.565,2.495,0.215523,0.035,2.43,3.15
tier2,M2,bp-react,vite,10,3914,1980,4764.326232,147.5,1740,16690
tier2,M10,bp-react,webpack,10,1131.187,1153.365,67.21943,72.7875,1008.78,1190.58
tier2,M11,bp-react,webpack,10,17.065,17.09,0.506475,0.9125,16.35,17.69
tier2,M2,bp-react,webpack,10,9737,6515,7016.053101,317.5,6150,25690
