tier,metric,size,tool_1,tool_2,z,p_raw,p_bonferroni,significant
tier1,M2,s-200,rollup,webpack,-1.043348,0.296787,1,No
tier1,M2,s-200,rspack,vite,1.3272,0.184443,1,No
tier1,M2,s-200,rspack,webpack,-2.907565,0.003643,0.036425,Yes
tier1,M2,s-200,vite,webpack,-4.234765,0.000023,0.000229,Yes
tier1,M10,xl-5000,esbuild,rollup,-4.60179,0.000004,0.000042,Yes
tier1,M10,xl-5000,esbuild,rspack,-3.06786,0.002156,0.02156,Yes
tier1,M10,xl-5000,esbuild,vite,-1.53393,0.125047,1,No
tier1,M10,xl-5000,esbuild,webpack,-6.13572,0,0,Yes
tier1,M10,xl-5000,rollup,rspack,1.53393,0.125047,1,No
tier1,M10,xl-5000,rollup,vite,3.06786,0.002156,0.02156,Yes
tier1,M10,xl-5000,rollup,webpack,-1.53393,0.125047,1,No
tier1,M10,xl-5000,rspack,vite,1.53393,0.125047,1,No
tier1,M10,xl-5000,rspack,webpack,-3.06786,0.002156,0.02156,Yes
tier1,M10,xl-5000,vite,webpack,-4.60179,0.000004,0.000042,Yes
tier1,M11,xl-5000,esbuild,rollup,-4.60179,0.000004,0.000042,Yes
tier1,M11,xl-5000,esbuild,rspack,-3.06786,0.002156,0.02156,Yes
tier1,M11,xl-5000,esbuild,vite,-1.53393,0.125047,1,No
tier1,M11,xl-5000,esbuild,webpack,-6.13572,0,0,Yes
tier1,M11,xl-5000,rollup,rspack,1.53393,0.125047,1,No
tier1,M11,xl-5000,rollup,vite,3.06786,0.002156,0.02156,Yes
tier1,M11,xl-5000,rollup,webpack,-1.53393,0.125047,1,No
tier1,M11,xl-5000,rspack,vite,1.53393,0.125047,1,No
tier1,M11,xl-5000,rspack,webpack,-3.06786,0.002156,0.02156,Yes
tier1,M11,xl-5000,vite,webpack,-4.60179,0.000004,0.000042,Yes
tier1,M2,xl-5000,esbuild,rollup,-1.764062,0.077722,0.777216,No
tier1,M2,xl-5000,esbuild,rspack,1.656684,0.097583,0.975833,No
tier1,M2,xl-5000,esbuild,vite,2.715121,0.006625,0.066252,No
tier1,M2,xl-5000,esbuild,webpack,-2.991235,0.002779,0.027785,Yes
tier1,M2,xl-5000,rollup,rspack,3.420746,0.000624,0.006245,Yes
