tier,metric,size,tool,median_all,median_excluding_first,n_all,n_excluding_first,rank_all,rank_excluding_first
tier1,M3,l-2000,esbuild,2186.5,2199,20,15,3,3
tier1,M3,l-2000,rollup,6267,6241,20,15,5,5
tier1,M3,l-2000,rspack,169,169,20,15,1,1
tier1,M3,l-2000,vite,3027.5,3015,20,15,4,4
tier1,M3,l-2000,webpack,1483.5,1441,20,15,2,2
tier1,M3,m-500,esbuild,661,652,20,15,3,3
tier1,M3,m-500,rollup,3054.5,2988,20,15,5,5
tier1,M3,m-500,rspack,82,80,20,15,1,1
tier1,M3,m-500,vite,1649,1621,20,15,4,4
tier1,M3,m-500,webpack,388,378,20,15,2,2
tier1,M3,s-200,esbuild,296,287,20,15,3,3
tier1,M3,s-200,rollup,1427,1411,20,15,5,5
tier1,M3,s-200,rspack,55,55,20,15,1,1
tier1,M3,s-200,vite,805.5,803,20,15,4,4
tier1,M3,s-200,webpack,199,178,20,15,2,2
tier1,M3,xl-5000,esbuild,6032.5,6682,20,15,4,4
tier1,M3,xl-5000,rollup,15014,15104,20,15,5,5
tier1,M3,xl-5000,rspack,349.5,344,20,15,1,1
tier1,M3,xl-5000,vite,4661.5,4652,20,15,3,3
tier1,M3,xl-5000,webpack,3774,3735,20,15,2,2
tier1,M3,xs-50,esbuild,154.5,151,20,15,3,3
tier1,M3,xs-50,rollup,1153,1122,20,15,5,5
tier1,M3,xs-50,rspack,53.5,53,20,15,1,1
tier1,M3,xs-50,vite,351.5,357,20,15,4,4
tier1,M3,xs-50,webpack,129.5,115,20,15,2,2
