tool,size,metric,run,value,unit,timestamp,session
webpack,xl-5000,M4,1,5194,ms,2026-09-15T07:12:03Z,1
webpack,xl-5000,M4,2,4959,ms,2026-09-15T07:12:03Z,1
webpack,xl-5000,M4,3,5389,ms,2026-09-15T07:12:03Z,1
webpack,xl-5000,M4,4,5419,ms,2026-09-15T07:12:03Z,1
webpack,xl-5000,M4,5,4395,ms,2026-09-15T07:12:03Z,2
webpack,xl-5000,M4,6,4203,ms,2026-09-15T07:12:03Z,2
webpack,xl-5000,M4,7,4252,ms,2026-09-15T07:12:03Z,2
webpack,xl-5000,M4,8,4491,ms,2026-09-15T07:12:03Z,2
webpack,xl-5000,M4,9,4233,ms,2026-09-15T07:12:03Z,3
webpack,xl-5000,M4,10,4343,ms,2026-09-15T07:12:03Z,3
webpack,xl-5000,M4,11,4195,ms,2026-09-15T07:12:03Z,3
webpack,xl-5000,M4,12,4315,ms,2026-09-15T07:12:03Z,3
webpack,xl-5000,M4,13,4285,ms,2026-09-15T07:12:03Z,4
webpack,xl-5000,M4,14,4139,ms,2026-09-15T07:12:03Z,4
webpack,xl-5000,M4,15,4360,ms,2026-09-15T07:12:03Z,4
webpack,xl-5000,M4,16,4080,ms,2026-09-15T07:12:03Z,4
webpack,xl-5000,M4,17,4264,ms,2026-09-15T07:12:03Z,5
webpack,xl-5000,M4,18,4461,ms,2026-09-15T07:12:03Z,5
webpack,xl-5000,M4,19,4407,ms,2026-09-15T07:12:03Z,5
webpack,xl-5000,M4,20,4132,ms,2026-09-15T07:12:03Z,5
