tier,metric,size,tool,n,mean,median,std,iqr,min,max
tier1,M4,m-500,rspack,20,115.95,105,30.26284,45.25,82,181
tier1,M4,xl-5000,rspack,20,387.95,389,31.18278,46.25,335,447
tier1,M4,xs-50,rspack,20,94.8,94.5,16.599302,7.25,57,140
tier1,M4,m-500,vite,20,91.85,89.5,49.279306,86.75,31,181
tier1,M4,xl-5000,vite,20,149.85,95,200.792188,103,25,944
tier1,M4,xs-50,vite,20,76.15,67.5,35.607916,54,35,143
tier1,M4,m-500,webpack,20,443.2,445,20.137945,23,397,479
tier1,M4,xl-5000,webpack,20,4475.8,4329,415.066843,243,4080,5419
tier1,M4,xs-50,webpack,20,161.9,154,35.265758,17.75,111,296
tier2,M4,bp-react,rspack,20,123.75,122.5,16.786194,10.75,99,165
tier2,M4,bp-react,vite,20,94.1,92.5,42.044963,98.25,33,145
tier2,M4,bp-react,webpack,20,231,231.5,9.978925,12,214,250
