tool,size,metric,run,value,unit,timestamp
esbuild,xl-5000,M10,1,271.6,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,2,286.9,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,3,279.1,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,4,290.1,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,5,289.1,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,6,285.0,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,7,267.4,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,8,292.7,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,9,286.2,MB,2026-09-12T00:09:58Z
esbuild,xl-5000,M10,10,287.6,MB,2026-09-12T00:09:58Z
