tool,size,metric,run,value,unit,timestamp
webpack,xl-5000,M10,1,5416.8,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,2,5659.8,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,3,5803.0,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,4,5521.0,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,5,6748.2,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,6,6594.2,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,7,5936.7,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,8,5913.7,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,9,7003.0,MB,2026-09-12T06:06:03Z
webpack,xl-5000,M10,10,6477.5,MB,2026-09-12T06:06:03Z
