tool,size,metric,run,value,unit,timestamp
vite,m-500,M3,1,832,ms,2026-09-11T21:11:32Z
vite,m-500,M3,2,1022,ms,2026-09-11T21:11:32Z
vite,m-500,M3,3,946,ms,2026-09-11T21:11:32Z
vite,m-500,M3,4,896,ms,2026-09-11T21:11:32Z
vite,m-500,M3,5,889,ms,2026-09-11T21:11:32Z
vite,m-500,M3,6,937,ms,2026-09-11T21:11:32Z
vite,m-500,M3,7,870,ms,2026-09-11T21:11:32Z
vite,m-500,M3,8,864,ms,2026-09-11T21:11:32Z
vite,m-500,M3,9,869,ms,2026-09-11T21:11:32Z
vite,m-500,M3,10,918,ms,2026-09-11T21:11:32Z
vite,m-500,M3,11,868,ms,2026-09-11T21:11:32Z
vite,m-500,M3,12,872,ms,2026-09-11T21:11:32Z
vite,m-500,M3,13,973,ms,2026-09-11T21:11:32Z
vite,m-500,M3,14,857,ms,2026-09-11T21:11:32Z
vite,m-500,M3,15,861,ms,2026-09-11T21:11:32Z
vite,m-500,M3,16,856,ms,2026-09-11T21:11:32Z
vite,m-500,M3,17,936,ms,2026-09-11T21:11:32Z
vite,m-500,M3,18,872,ms,2026-09-11T21:11:32Z
vite,m-500,M3,19,863,ms,2026-09-11T21:11:32Z
vite,m-500,M3,20,952,ms,2026-09-11T21:11:32Z
