tool,size,metric,run,value,unit,timestamp
webpack,xs-50,M4,1,35,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,2,14,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,3,13,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,4,54,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,5,16,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,6,15,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,7,16,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,8,15,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,9,57,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,10,64,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,11,14,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,12,14,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,13,16,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,14,13,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,15,16,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,16,12,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,17,36,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,18,36,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,19,14,ms,2026-09-12T07:45:03Z
webpack,xs-50,M4,20,47,ms,2026-09-12T07:45:03Z
