tier,metric,size,tool,unit_of_analysis,n,mean,median,std,iqr,min,max
tier1,M6,xl-5000,vite,deterministic_aggregate,1,1088681,1088681,0,0,1088681,1088681
tier1,M8,xl-5000,vite,deterministic_aggregate,1,84,84,0,0,84,84
tier1,M9,xl-5000,vite,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,xs-50,vite,deterministic_aggregate,1,311635,311635,0,0,311635,311635
tier1,M6,xs-50,vite,deterministic_aggregate,1,83071,83071,0,0,83071,83071
tier1,M8,xs-50,vite,deterministic_aggregate,1,1,1,0,0,1,1
tier1,M9,xs-50,vite,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,l-2000,webpack,deterministic_aggregate,1,8114836,8114836,0,0,8114836,8114836
tier1,M6,l-2000,webpack,deterministic_aggregate,1,835972,835972,0,0,835972,835972
tier1,M8,l-2000,webpack,deterministic_aggregate,1,6,6,0,0,6,6
tier1,M9,l-2000,webpack,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,m-500,webpack,deterministic_aggregate,1,2555959,2555959,0,0,2555959,2555959
tier1,M6,m-500,webpack,deterministic_aggregate,1,370828,370828,0,0,370828,370828
tier1,M8,m-500,webpack,deterministic_aggregate,1,6,6,0,0,6,6
tier1,M9,m-500,webpack,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,s-200,webpack,deterministic_aggregate,1,887756,887756,0,0,887756,887756
tier1,M6,s-200,webpack,deterministic_aggregate,1,148058,148058,0,0,148058,148058
tier1,M8,s-200,webpack,deterministic_aggregate,1,5,5,0,0,5,5
tier1,M9,s-200,webpack,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,xl-5000,webpack,deterministic_aggregate,1,19327288,19327288,0,0,19327288,19327288
tier1,M6,xl-5000,webpack,deterministic_aggregate,1,1827389,1827389,0,0,1827389,1827389
tier1,M8,xl-5000,webpack,deterministic_aggregate,1,13,13,0,0,13,13
tier1,M9,xl-5000,webpack,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,xs-50,webpack,deterministic_aggregate,1,372983,372983,0,0,372983,372983
tier1,M6,xs-50,webpack,deterministic_aggregate,1,87029,87029,0,0,87029,87029
tier1,M8,xs-50,webpack,deterministic_aggregate,1,2,2,0,0,2,2
tier1,M9,xs-50,webpack,deterministic_aggregate,1,100,100,0,0,100,100
tier2,M5,bp-react,esbuild,deterministic_aggregate,1,904678,904678,0,0,904678,904678
tier2,M6,bp-react,esbuild,deterministic_aggregate,1,285211,285211,0,0,285211,285211
tier2,M8,bp-react,esbuild,deterministic_aggregate,1,24,24,0,0,24,24
tier2,M9,bp-react,esbuild,deterministic_aggregate,1,100,100,0,0,100,100
tier2,M5,bp-react,rollup,deterministic_aggregate,1,633852,633852,0,0,633852,633852
tier2,M6,bp-react,rollup,deterministic_aggregate,1,193606,193606,0,0,193606,193606
tier2,M8,bp-react,rollup,deterministic_aggregate,1,20,20,0,0,20,20
tier2,M9,bp-react,rollup,deterministic_aggregate,1,0,0,0,0,0,0
tier2,M5,bp-react,rspack,deterministic_aggregate,1,771037,771037,0,0,771037,771037
tier2,M6,bp-react,rspack,deterministic_aggregate,1,216419,216419,0,0,216419,216419
tier2,M8,bp-react,rspack,deterministic_aggregate,1,14,14,0,0,14,14
tier2,M9,bp-react,rspack,deterministic_aggregate,1,100,100,0,0,100,100
tier2,M5,bp-react,vite,deterministic_aggregate,1,640913,640913,0,0,640913,640913
tier2,M6,bp-react,vite,deterministic_aggregate,1,197169,197169,0,0,197169,197169
tier2,M8,bp-react,vite,deterministic_aggregate,1,19,19,0,0,19,19
tier2,M9,bp-react,vite,deterministic_aggregate,1,100,100,0,0,100,100
tier2,M5,bp-react,webpack,deterministic_aggregate,1,762159,762159,0,0,762159,762159
tier2,M6,bp-react,webpack,deterministic_aggregate,1,218951,218951,0,0,218951,218951
tier2,M8,bp-react,webpack,deterministic_aggregate,1,14,14,0,0,14,14
tier2,M9,bp-react,webpack,deterministic_aggregate,1,100,100,0,0,100,100
