tier,metric,size,tool,unit_of_analysis,n,mean,median,std,iqr,min,max
tier1,M8,xs-50,rollup,five_build_aggregate,1,2,2,0,0,2,2
tier1,M9,xs-50,rollup,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,l-2000,rspack,independent_build,10,1132.858,1129.785,16.037801,14,1118.02,1168.77
tier1,M11,l-2000,rspack,independent_build,10,9.537,9.525,0.153119,0.085,9.36,9.92
tier1,M2,l-2000,rspack,independent_build,10,6049,5640,841.433301,715,5370,7810
tier1,M5,l-2000,rspack,five_build_aggregate,1,11795557,11795557,0,0,11795557,11795557
tier1,M6,l-2000,rspack,five_build_aggregate,1,1420191,1420191,0,0,1420191,1420191
tier1,M8,l-2000,rspack,five_build_aggregate,1,5,5,0,0,5,5
tier1,M9,l-2000,rspack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M1,m-500,rspack,independent_build,20,1962.7,1826.5,677.804824,162,1686,4808
tier1,M10,m-500,rspack,independent_build,10,506.901,507.03,3.384666,4.145,501.61,511.81
tier1,M11,m-500,rspack,independent_build,10,3.605,3.605,0.064161,0.075,3.48,3.7
tier1,M2,m-500,rspack,independent_build,10,2333,2190,493.987179,95,2030,3720
tier1,M5,m-500,rspack,five_build_aggregate,1,3458372,3458372,0,0,3458372,3458372
tier1,M6,m-500,rspack,five_build_aggregate,1,516489,516489,0,0,516489,516489
tier1,M8,m-500,rspack,five_build_aggregate,1,5,5,0,0,5,5
tier1,M9,m-500,rspack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,s-200,rspack,independent_build,10,279.642,279.76,2.581605,2.63,275.67,285.25
tier1,M11,s-200,rspack,independent_build,10,1.819,1.79,0.094921,0.055,1.74,2.05
tier1,M2,s-200,rspack,independent_build,10,2167,1260,2386.103518,190,1170,8800
tier1,M5,s-200,rspack,five_build_aggregate,1,1182103,1182103,0,0,1182103,1182103
tier1,M6,s-200,rspack,five_build_aggregate,1,207359,207359,0,0,207359,207359
tier1,M8,s-200,rspack,five_build_aggregate,1,4,4,0,0,4,4
tier1,M9,s-200,rspack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M7,tree-shake,rspack,fixture_aggregate,1,90.14,90.14,0,0,90.14,90.14
tier1,M1,xl-5000,rspack,independent_build,20,8093.75,7605,2209.512303,180.75,7468,17472
tier1,M10,xl-5000,rspack,independent_build,10,2297.838,2319.86,89.748538,84.35,2080.28,2391.44
tier1,M11,xl-5000,rspack,independent_build,10,22.19,22.225,0.435737,0.5675,21.5,22.78
tier1,M2,xl-5000,rspack,independent_build,10,14278,14585,904.099306,342.5,12580,15100
tier1,M5,xl-5000,rspack,five_build_aggregate,1,28623040,28623040,0,0,28623040,28623040
tier1,M6,xl-5000,rspack,five_build_aggregate,1,3250368,3250368,0,0,3250368,3250368
tier1,M8,xl-5000,rspack,five_build_aggregate,1,12,12,0,0,12,12
tier1,M9,xl-5000,rspack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M1,xs-50,rspack,independent_build,20,1181.1,1144.5,76.128631,124.5,1106,1344
tier1,M10,xs-50,rspack,independent_build,10,192.331,191.99,3.124557,3.7825,185.48,196.25
tier1,M11,xs-50,rspack,independent_build,10,1.067,1.03,0.098551,0.0375,1,1.32
tier1,M2,xs-50,rspack,independent_build,10,2531,940,4449.325667,47.5,890,15080
tier1,M5,xs-50,rspack,five_build_aggregate,1,435642,435642,0,0,435642,435642
tier1,M6,xs-50,rspack,five_build_aggregate,1,99295,99295,0,0,99295,99295
tier1,M8,xs-50,rspack,five_build_aggregate,1,1,1,0,0,1,1
tier1,M9,xs-50,rspack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,l-2000,vite,independent_build,10,934.043,937.08,11.728328,4.3675,911.5,947.61
tier1,M11,l-2000,vite,independent_build,10,5.04,5.045,0.106145,0.1425,4.85,5.2
tier1,M2,l-2000,vite,independent_build,10,3314,2850,880.204522,867.5,2630,4960
tier1,M5,l-2000,vite,five_build_aggregate,1,4038885,4038885,0,0,4038885,4038885
tier1,M6,l-2000,vite,five_build_aggregate,1,556372,556372,0,0,556372,556372
tier1,M8,l-2000,vite,five_build_aggregate,1,34,34,0,0,34,34
tier1,M9,l-2000,vite,sourcemap_probe,1,100,100,0,0,100,100
tier1,M1,m-500,vite,independent_build,20,877,869.5,38.037378,19,847,1028
tier1,M10,m-500,vite,independent_build,10,550.296,553.39,8.40978,2.225,526.73,554.44
tier1,M11,m-500,vite,independent_build,10,2.586,2.53,0.115297,0.0725,2.49,2.85
tier1,M2,m-500,vite,independent_build,10,1718,1490,634.994313,170,1370,3490
tier1,M5,m-500,vite,five_build_aggregate,1,1649769,1649769,0,0,1649769,1649769
tier1,M6,m-500,vite,five_build_aggregate,1,328227,328227,0,0,328227,328227
tier1,M8,m-500,vite,five_build_aggregate,1,19,19,0,0,19,19
tier1,M9,m-500,vite,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,s-200,vite,independent_build,10,389.094,389.615,3.197117,5.0425,383.23,393.22
