tier,metric,size,tool_1,tool_2,z,p_raw,p_bonferroni,significant
tier1,M11,s-200,rspack,vite,1.488341,0.136660999724,1,No
tier1,M11,s-200,rspack,webpack,-3.09176,0.001989737714,0.019897377138,Yes
tier1,M11,s-200,vite,webpack,-4.580101,0.00000464752,0.000046475195,Yes
tier1,M2,s-200,esbuild,rollup,-4.273124,0.000019275346,0.000192753458,Yes
tier1,M2,s-200,esbuild,rspack,-2.408906,0.016000402932,0.160004029317,No
tier1,M2,s-200,esbuild,vite,-1.081706,0.279383027662,1,No
tier1,M2,s-200,esbuild,webpack,-5.316472,1.057987e-7,0.000001057987,Yes
tier1,M2,s-200,rollup,rspack,1.864217,0.062291189502,0.622911895017,No
tier1,M2,s-200,rollup,vite,3.191417,0.001415766172,0.014157661723,Yes
tier1,M2,s-200,rollup,webpack,-1.043348,0.296787159099,1,No
tier1,M2,s-200,rspack,vite,1.3272,0.184442533063,1,No
tier1,M2,s-200,rspack,webpack,-2.907565,0.003642542704,0.036425427039,Yes
tier1,M2,s-200,vite,webpack,-4.234765,0.000022879052,0.000228790522,Yes
tier1,M10,xl-5000,esbuild,rollup,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M10,xl-5000,esbuild,rspack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,xl-5000,esbuild,vite,-1.53393,0.125046880131,1,No
tier1,M10,xl-5000,esbuild,webpack,-6.13572,8.477441e-10,8.477441e-9,Yes
tier1,M10,xl-5000,rollup,rspack,1.53393,0.125046880131,1,No
tier1,M10,xl-5000,rollup,vite,3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,xl-5000,rollup,webpack,-1.53393,0.125046880131,1,No
tier1,M10,xl-5000,rspack,vite,1.53393,0.125046880131,1,No
tier1,M10,xl-5000,rspack,webpack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,xl-5000,vite,webpack,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M11,xl-5000,esbuild,rollup,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M11,xl-5000,esbuild,rspack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M11,xl-5000,esbuild,vite,-1.53393,0.125046880131,1,No
tier1,M11,xl-5000,esbuild,webpack,-6.13572,8.477441e-10,8.477441e-9,Yes
tier1,M11,xl-5000,rollup,rspack,1.53393,0.125046880131,1,No
tier1,M11,xl-5000,rollup,vite,3.06786,0.002155976304,0.021559763036,Yes
tier1,M11,xl-5000,rollup,webpack,-1.53393,0.125046880131,1,No
tier1,M11,xl-5000,rspack,vite,1.53393,0.125046880131,1,No
tier1,M11,xl-5000,rspack,webpack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M11,xl-5000,vite,webpack,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M2,xl-5000,esbuild,rollup,-1.764062,0.077721570065,0.777215700646,No
tier1,M2,xl-5000,esbuild,rspack,1.656684,0.097583348598,0.975833485978,No
tier1,M2,xl-5000,esbuild,vite,2.715121,0.006625150938,0.066251509377,No
tier1,M2,xl-5000,esbuild,webpack,-2.991235,0.002778513288,0.027785132875,Yes
tier1,M2,xl-5000,rollup,rspack,3.420746,0.00062449632,0.006244963201,Yes
tier1,M2,xl-5000,rollup,vite,4.479183,0.000007492925,0.000074929248,Yes
tier1,M2,xl-5000,rollup,webpack,-1.227173,0.219757407398,1,No
tier1,M2,xl-5000,rspack,vite,1.058437,0.289856214016,1,No
tier1,M2,xl-5000,rspack,webpack,-4.647919,0.000003352998,0.000033529982,Yes
tier1,M2,xl-5000,vite,webpack,-5.706357,1.154201e-8,1.154201e-7,Yes
tier1,M10,xs-50,esbuild,rollup,-4.954713,7.243721e-7,0.000007243721,Yes
tier1,M10,xs-50,esbuild,rspack,-1.533967,0.125037818648,1,No
tier1,M10,xs-50,esbuild,vite,-3.067934,0.002155444944,0.021554449442,Yes
tier1,M10,xs-50,esbuild,webpack,-5.783055,7.335613e-9,7.335613e-8,Yes
tier1,M10,xs-50,rollup,rspack,3.420746,0.00062449632,0.006244963201,Yes
tier1,M10,xs-50,rollup,vite,1.886779,0.059190033398,0.591900333981,No
tier1,M10,xs-50,rollup,webpack,-0.828342,0.4074768002,1,No
tier1,M10,xs-50,rspack,vite,-1.533967,0.125037818648,1,No
tier1,M10,xs-50,rspack,webpack,-4.249088,0.000021464254,0.000214642536,Yes
tier1,M10,xs-50,vite,webpack,-2.715121,0.006625150938,0.066251509377,No
tier1,M11,xs-50,esbuild,rollup,-4.618571,0.000003863917,0.000038639172,Yes
tier1,M11,xs-50,esbuild,rspack,-2.938393,0.0032991831,0.032991830995,Yes
tier1,M11,xs-50,esbuild,vite,-1.664834,0.095945929939,0.959459299393,No
tier1,M11,xs-50,esbuild,webpack,-6.122292,9.223888e-10,9.223888e-9,Yes
tier1,M11,xs-50,rollup,rspack,1.680178,0.092922720959,0.929227209587,No
tier1,M11,xs-50,rollup,vite,2.953737,0.003139511464,0.031395114642,Yes
tier1,M11,xs-50,rollup,webpack,-1.503721,0.132653271236,1,No
tier1,M11,xs-50,rspack,vite,1.273559,0.202819589767,1,No
tier1,M11,xs-50,rspack,webpack,-3.183899,0.001453058869,0.014530588691,Yes
tier1,M11,xs-50,vite,webpack,-4.457458,0.000008293725,0.000082937247,Yes
tier1,M2,xs-50,esbuild,rollup,-3.562826,0.000366883961,0.003668839609,Yes
tier1,M2,xs-50,esbuild,rspack,-2.173017,0.029779061899,0.297790618988,No
tier1,M2,xs-50,esbuild,vite,-1.051955,0.292820163359,1,No
tier1,M2,xs-50,esbuild,webpack,-5.229061,1.703728e-7,0.000001703728,Yes
tier1,M2,xs-50,rollup,rspack,1.389809,0.164586807036,1,No
tier1,M2,xs-50,rollup,vite,2.510871,0.01204337443,0.1204337443,No
tier1,M2,xs-50,rollup,webpack,-1.666235,0.095666536761,0.956665367614,No
tier1,M2,xs-50,rspack,vite,1.121062,0.26226163884,1,No
tier1,M2,xs-50,rspack,webpack,-3.056045,0.002242778473,0.022427784733,Yes
tier1,M2,xs-50,vite,webpack,-4.177106,0.000029524111,0.000295241111,Yes
tier1,M1,m-500,rspack,vite,3.784499,0.000154018316,0.000462054949,Yes
tier1,M1,m-500,rspack,webpack,-3.295593,0.000982142851,0.002946428554,Yes
tier1,M1,m-500,vite,webpack,-7.080092,1.440625e-12,4.321876e-12,Yes
tier1,M1,xl-5000,rspack,vite,3.621832,0.000292523623,0.000877570868,Yes
tier1,M1,xl-5000,rspack,webpack,-3.621832,0.000292523623,0.000877570868,Yes
tier1,M1,xl-5000,vite,webpack,-7.243665,4.367617e-13,1.310285e-12,Yes
tier1,M1,xs-50,rspack,vite,3.621832,0.000292523623,0.000877570868,Yes
tier1,M1,xs-50,rspack,webpack,-3.621832,0.000292523623,0.000877570868,Yes
tier1,M1,xs-50,vite,webpack,-7.243665,4.367617e-13,1.310285e-12,Yes
tier2,M10,bp-react,esbuild,rollup,-4.60179,0.000004188756,0.000041887556,Yes
tier2,M10,bp-react,esbuild,rspack,-1.53393,0.125046880131,1,No
tier2,M10,bp-react,esbuild,vite,-3.06786,0.002155976304,0.021559763036,Yes
tier2,M10,bp-react,esbuild,webpack,-6.13572,8.477441e-10,8.477441e-9,Yes
tier2,M10,bp-react,rollup,rspack,3.06786,0.002155976304,0.021559763036,Yes
tier2,M10,bp-react,rollup,vite,1.53393,0.125046880131,1,No
tier2,M10,bp-react,rollup,webpack,-1.53393,0.125046880131,1,No
tier2,M10,bp-react,rspack,vite,-1.53393,0.125046880131,1,No
tier2,M10,bp-react,rspack,webpack,-4.60179,0.000004188756,0.000041887556,Yes
tier2,M10,bp-react,vite,webpack,-3.06786,0.002155976304,0.021559763036,Yes
tier2,M11,bp-react,esbuild,rollup,-4.6208,0.000003822624,0.000038226243,Yes
tier2,M11,bp-react,esbuild,rspack,-1.540267,0.123495333583,1,No
tier2,M11,bp-react,esbuild,vite,-3.080534,0.00206630043,0.020663004303,Yes
tier2,M11,bp-react,esbuild,webpack,-6.161067,7.225633e-10,7.225633e-9,Yes
tier2,M11,bp-react,rollup,rspack,3.080534,0.00206630043,0.020663004303,Yes
tier2,M11,bp-react,rollup,vite,1.540267,0.123495333583,1,No
tier2,M11,bp-react,rollup,webpack,-1.540267,0.123495333583,1,No
tier2,M11,bp-react,rspack,vite,-1.540267,0.123495333583,1,No
tier2,M11,bp-react,rspack,webpack,-4.6208,0.000003822624,0.000038226243,Yes
tier2,M11,bp-react,vite,webpack,-3.080534,0.00206630043,0.020663004303,Yes
tier2,M2,bp-react,esbuild,rollup,-3.820678,0.00013308512,0.001330851202,Yes
tier2,M2,bp-react,esbuild,rspack,-1.933355,0.053192442027,0.531924420268,No
tier2,M2,bp-react,esbuild,vite,-2.224893,0.026088420684,0.260884206843,No
tier2,M2,bp-react,esbuild,webpack,-4.910109,9.102591e-7,0.000009102591,Yes
tier2,M2,bp-react,rollup,rspack,1.887323,0.059116888685,0.591168886845,No
tier2,M2,bp-react,rollup,vite,1.595785,0.110536727712,1,No
